"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"C1";"C_0805";1;"100n";;;
2;"D1,D2,D3,D4,D5,D6,D7,D8,D9";"LED_D5.0mm-4";9;"LED_RCBG";;;
3;"P1";"Pin_Header_Straight_2x07_Pitch2.54mm";1;"INPUT";;;
4;"P2";"Pin_Header_Straight_2x07_Pitch2.54mm";1;"OUTPUT";;;
5;"Q1,Q4,Q7";"SOT-23";3;"Q_PNP_BEC";;;
6;"Q2,Q3,Q5,Q6,Q8,Q9,Q10,Q11,Q12";"SOT-23";9;"BC849";;;
7;"R1,R2,R3,R5,R7,R8,R9,R11,R12,R13,R14,R15";"R_0805";12;"10k";;;
8;"R4,R6,R10";"R_0805";3;"68";;;
9;"U1";"SOIC-16_3.9x9.9mm_Pitch1.27mm";1;"74HC595";;;
10;"REF**,REF**,REF**,REF**,REF**";"1pin";5;"1pin";;;
